RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Date,Home Value
99507,5390,98022,zip,WA,WA,Enumclaw,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,208010.0
99607,5623,98166,zip,WA,WA,Burien,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,248935.0
99624,5659,98199,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,365257.0
99493,5870,98005,zip,WA,WA,Bellevue,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,344706.0
99580,6595,98121,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,263946.0
99591,6800,98136,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,278324.0
99529,7669,98045,zip,WA,WA,North Bend,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,279865.0
99539,8166,98057,zip,WA,WA,Renton,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,179912.0
99504,8291,98019,zip,WA,WA,Duvall,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,282963.0
99564,8303,98104,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,253129.0
99554,8327,98077,zip,WA,WA,Woodinville,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,420379.0
99561,8647,98101,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-03-31,236291.0
